Compound,Batch1,Batch2,Batch3,Batch4,Batch5,Batch6,Batch7,Batch8,Batch9
GCA,0.68,0.68,0.68,0.67,0.68,0.68,0.67,0.68,0.68
LPE(17:1),1.15,1.18,1.18,1.25,1.21,1.21,1.25,1.21,1.25
LPE(18:0),1.75,1.79,1.75,1.9,1.86,1.9,1.93,1.9,1.9
Stearic Acid-d3,3.66,3.73,3.66,3.96,3.89,3.91,4.02,3.94,3.98
SM(d34:1),5.7,5.88,5.7,6.42,6.24,6.28,6.6,6.39,6.42
SM(d35:1),6.51,6.76,6.53,7.37,7.14,7.17,7.57,7.32,7.37
"PC(16:0,18:1)-d31",7.55,7.88,7.58,8.68,8.4,8.4,8.94,8.6,8.69
"PE(18:1, 16:0)-d31",8.12,8.47,8.15,9.33,9.01,9.05,9.62,9.23,9.33
PE(38:4),8.58,8.94,8.58,9.91,9.55,9.59,10.2,9.8,9.9
Cer(d35:1),9.19,9.58,9.19,10.55,10.19,10.2,10.84,10.44,10.52
"PE(P-18:0,20:4)",9.66,10.09,9.69,11.2,10.81,10.84,11.54,11.09,11.2
SM(d42:3),10.08,10.54,10.13,11.65,11.24,11.29,12,11.55,11.66
PE(36:1),10.91,11.42,10.95,12.62,12.17,12.25,13.01,12.5,12.64
SM(d41:2),11.6,12.14,11.66,13.36,12.96,13,13.54,13.28,13.36
SM(d40:1),12.67,13.25,12.74,13.73,13.61,13.64,13.82,13.72,13.72
PC(O-42:4),13.9,14.04,13.93,14.29,14.22,14.22,14.39,14.26,14.29
Cer(d42:1),14.83,14.96,14.83,15.15,15.08,15.08,15.22,15.12,15.15
Cer(d44:1),15.3,15.43,15.31,15.58,15.51,15.51,15.66,15.58,15.58
